tournament,home,away,date,p_home,p_draw,p_away,actual
WC2022,Argentina,Mexico,2022-11-26,0.65123116,0.20417682,0.14459202,home
WC2022,Tunisia,Australia,2022-11-26,0.33102785,0.24674343,0.42222872,away
WC2022,France,Denmark,2022-11-26,0.47617850,0.23833906,0.28548244,home
WC2022,Japan,Costa Rica,2022-11-27,0.64061293,0.21361093,0.14577614,away
WC2022,Spain,Germany,2022-11-27,0.53563095,0.21456409,0.24980496,draw
WC2022,Belgium,Morocco,2022-11-27,0.51706690,0.22440178,0.25853132,away
WC2022,Croatia,Canada,2022-11-27,0.47366396,0.22918057,0.29715547,home
WC2022,Cameroon,Serbia,2022-11-28,0.23997147,0.23545490,0.52457363,draw
WC2022,Brazil,Switzerland,2022-11-28,0.71264062,0.18141285,0.10594653,home
WC2022,South Korea,Ghana,2022-11-28,0.49741367,0.24485029,0.25773604,away
WC2022,Portugal,Uruguay,2022-11-28,0.45945765,0.24602797,0.29451438,home
WC2022,Ecuador,Senegal,2022-11-29,0.45608355,0.24824829,0.29566816,away
WC2022,Qatar,Netherlands,2022-11-29,0.10338558,0.13696768,0.75964674,away
WC2022,Wales,England,2022-11-29,0.15264462,0.21737073,0.62998465,away
WC2022,Iran,United States,2022-11-29,0.25652196,0.25568869,0.48778934,away
WC2022,Poland,Argentina,2022-11-30,0.14675162,0.19250889,0.66073949,away
WC2022,Saudi Arabia,Mexico,2022-11-30,0.15207648,0.21324740,0.63467612,away
WC2022,Australia,Denmark,2022-11-30,0.19579932,0.22051441,0.58368627,home
WC2022,Tunisia,France,2022-11-30,0.13094979,0.18889514,0.68015507,home
WC2022,Japan,Spain,2022-12-01,0.18697090,0.21312185,0.59990725,home
WC2022,Costa Rica,Germany,2022-12-01,0.09980670,0.16180201,0.73839129,away
WC2022,Croatia,Belgium,2022-12-01,0.27861100,0.21243817,0.50895082,draw
WC2022,Canada,Morocco,2022-12-01,0.27417670,0.24352370,0.48229960,away
WC2022,Serbia,Switzerland,2022-12-02,0.33369687,0.23097257,0.43533056,away
WC2022,Cameroon,Brazil,2022-12-02,0.05370843,0.14182375,0.80446782,home
WC2022,Ghana,Uruguay,2022-12-02,0.12954300,0.20332930,0.66712770,away
WC2022,South Korea,Portugal,2022-12-02,0.14769611,0.19843823,0.65386566,home
WC2022,Netherlands,United States,2022-12-03,0.50981318,0.22980401,0.26038281,home
WC2022,Argentina,Australia,2022-12-03,0.72539829,0.17263374,0.10196797,home
WC2022,France,Poland,2022-12-04,0.58812071,0.20617001,0.20570929,home
WC2022,England,Senegal,2022-12-04,0.61314384,0.21834094,0.16851522,home
WC2022,Japan,Croatia,2022-12-05,0.30980260,0.23163759,0.45855981,draw
WC2022,Brazil,South Korea,2022-12-05,0.77151807,0.15326169,0.07522024,home
WC2022,Morocco,Spain,2022-12-06,0.19994241,0.22608855,0.57396905,draw
WC2022,Portugal,Switzerland,2022-12-06,0.57702081,0.22070359,0.20227560,home
WC2022,Croatia,Brazil,2022-12-09,0.11758070,0.18294980,0.69946950,draw
WC2022,Netherlands,Argentina,2022-12-09,0.25617840,0.23146659,0.51235501,draw
WC2022,Morocco,Portugal,2022-12-10,0.21266263,0.23377078,0.55356659,home
WC2022,England,France,2022-12-10,0.43586182,0.24279235,0.32134582,away
WC2022,Argentina,Croatia,2022-12-13,0.59943527,0.21261482,0.18794991,home
WC2022,France,Morocco,2022-12-14,0.54132283,0.23110341,0.22757376,home
WC2022,Croatia,Morocco,2022-12-17,0.41551191,0.24137285,0.34311524,home
WC2022,Argentina,France,2022-12-18,0.47894252,0.24223759,0.27881989,draw
